Method,Category,Filename,Struct,Damage,Realism
Pix2Pix,Mild,000029_sat_real.png,1,1,1
Pix2Pix,Mild,000043_sat_real.png,1,1,1
Pix2Pix,Mild,000044_sat_real.png,1,1,1
Pix2Pix,Mild,000049_sat_real.png,1,1,1
Pix2Pix,Mild,000051_sat_real.png,1,1,1
Pix2Pix,Mild,000065_sat_real.png,1,1,1
Pix2Pix,Mild,000067_sat_real.png,2,1,1
Pix2Pix,Mild,000070_sat_real.png,1,1,1
Pix2Pix,Mild,000076_sat_real.png,1,1,1
Pix2Pix,Mild,000078_sat_real.png,3,1,1
Pix2Pix,Mild,000101_sat_real.png,1,1,1
Pix2Pix,Mild,000192_sat_real.png,1,1,1
Pix2Pix,Mild,000198_sat_real.png,1,1,1
Pix2Pix,Mild,000231_sat_real.png,1,1,1
Pix2Pix,Mild,000233_sat_real.png,1,1,1
Pix2Pix,Mild,000237_sat_real.png,1,1,1
Pix2Pix,Mild,000239_sat_real.png,2,1,1
Pix2Pix,Mild,000247_sat_real.png,1,1,1
Pix2Pix,Mild,000259_sat_real.png,1,1,1
Pix2Pix,Mild,000261_sat_real.png,1,1,1
Pix2Pix,Mild,000275_sat_real.png,2,5,1
Pix2Pix,Mild,000303_sat_real.png,1,1,1
Pix2Pix,Mild,000309_sat_real.png,1,1,1
Pix2Pix,Mild,000316_sat_real.png,2,1,1
Pix2Pix,Mild,000322_sat_real.png,1,1,1
Pix2Pix,Mild,000339_sat_real.png,1,1,1
Pix2Pix,Mild,000350_sat_real.png,2,5,1
Pix2Pix,Mild,000351_sat_real.png,2,1,1
Pix2Pix,Mild,000353_sat_real.png,1,1,1
Pix2Pix,Mild,000365_sat_real.png,1,1,1
Pix2Pix,Mild,000367_sat_real.png,1,1,1
Pix2Pix,Mild,000371_sat_real.png,4,4,1
Pix2Pix,Mild,000413_sat_real.png,1,1,1
Pix2Pix,Mild,000428_sat_real.png,1,1,1
Pix2Pix,Mild,000430_sat_real.png,1,1,1
Pix2Pix,Mild,000451_sat_real.png,1,1,1
Pix2Pix,Mild,000461_sat_real.png,1,1,1
Pix2Pix,Mild,000471_sat_real.png,2,1,1
Pix2Pix,Mild,000477_sat_real.png,1,1,1
Pix2Pix,Mild,000481_sat_real.png,1,1,1
Pix2Pix,Mild,000485_sat_real.png,1,1,1
Pix2Pix,Mild,000486_sat_real.png,2,4,1
Pix2Pix,Mild,000494_sat_real.png,1,1,1
Pix2Pix,Mild,000529_sat_real.png,2,1,1
Pix2Pix,Mild,000549_sat_real.png,1,1,1
Pix2Pix,Mild,000558_sat_real.png,1,1,1
Pix2Pix,Mild,000560_sat_real.png,1,1,1
Pix2Pix,Mild,000598_sat_real.png,1,1,1
Pix2Pix,Mild,000599_sat_real.png,1,1,1
Pix2Pix,Mild,000605_sat_real.png,1,1,1
Pix2Pix,Mild,000630_sat_real.png,1,1,1
Pix2Pix,Mild,000634_sat_real.png,2,1,1
Pix2Pix,Mild,000651_sat_real.png,1,1,1
Pix2Pix,Mild,000660_sat_real.png,1,1,1
Pix2Pix,Mild,000665_sat_real.png,1,1,1
Pix2Pix,Mild,000669_sat_real.png,1,1,1
Pix2Pix,Mild,000756_sat_real.png,1,1,1
Pix2Pix,Mild,000778_sat_real.png,1,1,1
Pix2Pix,Mild,000782_sat_real.png,1,1,1
Pix2Pix,Mild,000787_sat_real.png,1,1,1
Pix2Pix,Mild,000796_sat_real.png,1,1,1
Pix2Pix,Mild,000816_sat_real.png,1,1,1
Pix2Pix,Mild,000817_sat_real.png,1,1,1
Pix2Pix,Mild,000818_sat_real.png,2,1,1
Pix2Pix,Mild,000820_sat_real.png,1,1,1
Pix2Pix,Mild,000823_sat_real.png,2,1,1
Pix2Pix,Mild,000829_sat_real.png,2,1,1
Pix2Pix,Mild,000847_sat_real.png,1,1,1
Pix2Pix,Mild,000852_sat_real.png,1,1,1
Pix2Pix,Mild,000861_sat_real.png,1,1,1
Pix2Pix,Mild,000864_sat_real.png,2,1,1
Pix2Pix,Mild,000887_sat_real.png,2,1,1
Pix2Pix,Mild,000915_sat_real.png,1,1,1
Pix2Pix,Mild,000933_sat_real.png,1,1,1
Pix2Pix,Mild,000945_sat_real.png,1,1,1
Pix2Pix,Mild,000983_sat_real.png,1,1,1
Pix2Pix,Mild,000990_sat_real.png,1,1,1
Pix2Pix,Mild,000998_sat_real.png,3,1,1
Pix2Pix,Mild,001001_sat_real.png,2,1,1
Pix2Pix,Mild,001047_sat_real.png,1,1,1
Pix2Pix,Mild,001049_sat_real.png,1,1,1
Pix2Pix,Mild,001055_sat_real.png,2,1,1
Pix2Pix,Mild,001073_sat_real.png,1,1,1
Pix2Pix,Mild,001100_sat_real.png,1,1,1
Pix2Pix,Mild,001101_sat_real.png,2,2,1
Pix2Pix,Mild,001103_sat_real.png,2,1,1
Pix2Pix,Mild,001161_sat_real.png,1,1,1
Pix2Pix,Mild,001177_sat_real.png,1,1,1
Pix2Pix,Mild,001202_sat_real.png,1,1,1
Pix2Pix,Mild,001226_sat_real.png,1,1,1
Pix2Pix,Mild,001227_sat_real.png,4,2,1
Pix2Pix,Mild,001245_sat_real.png,1,1,1
Pix2Pix,Mild,001246_sat_real.png,1,1,1
Pix2Pix,Mild,001249_sat_real.png,1,1,1
Pix2Pix,Mild,001263_sat_real.png,1,1,1
Pix2Pix,Mild,001296_sat_real.png,3,2,1
Pix2Pix,Mild,001330_sat_real.png,2,1,1
Pix2Pix,Mild,001346_sat_real.png,2,1,1
Pix2Pix,Mild,001366_sat_real.png,1,1,1
Pix2Pix,Mild,001392_sat_real.png,1,1,1
Pix2Pix,Moderate,001430_sat_real.png,1,1,1
Pix2Pix,Moderate,001437_sat_real.png,1,1,1
Pix2Pix,Moderate,001456_sat_real.png,1,1,1
Pix2Pix,Moderate,001458_sat_real.png,1,1,1
Pix2Pix,Moderate,001466_sat_real.png,1,1,1
Pix2Pix,Moderate,001474_sat_real.png,1,1,1
Pix2Pix,Moderate,001477_sat_real.png,1,1,1
Pix2Pix,Moderate,001483_sat_real.png,1,1,1
Pix2Pix,Moderate,001506_sat_real.png,1,1,1
Pix2Pix,Moderate,001530_sat_real.png,1,1,1
Pix2Pix,Moderate,001531_sat_real.png,1,1,1
Pix2Pix,Moderate,001542_sat_real.png,1,1,1
Pix2Pix,Moderate,001575_sat_real.png,1,1,1
Pix2Pix,Moderate,001644_sat_real.png,1,1,1
Pix2Pix,Moderate,001647_sat_real.png,2,2,1
Pix2Pix,Moderate,001654_sat_real.png,1,1,1
Pix2Pix,Moderate,001666_sat_real.png,1,1,1
Pix2Pix,Moderate,001668_sat_real.png,1,1,1
Pix2Pix,Moderate,001710_sat_real.png,1,1,1
Pix2Pix,Moderate,001713_sat_real.png,1,1,1
Pix2Pix,Moderate,001716_sat_real.png,1,1,1
Pix2Pix,Moderate,001723_sat_real.png,2,1,1
